,date,content,higher_order,higher_order_e,网管办,网监,boss_order,boss_order_e,老沉,陈彤,老陈,info_action,info_action_e,行动性,煽动,surveillance,surveillance_e,上报,discussion_protect,discussion_protect_e,攻击,攻击.*党,攻击.*政府,攻击.*领导人,攻击.*制度,person_p,person_p_e,习近平,温家宝,温,薄熙来,近平,温家,周永康,习,胡锦涛,江泽民,person_y,person_y_e,陈光诚,person_b,person_b_e,foreign,foreign_e,美国,香港,sina,sina_e,新浪,person,org,gpe,person_n,org_n,gpe_n
20,2011年10月18日,"【哎，这对！】柴LING在回憶錄稱，他与封CONG德逃到海外後分手,因封戀上香港一影星。封说,「這並非事實,原因是價值觀差異。」他让柴公開「女星是誰」。柴自爆四次墮胎,封说「前2次我毫不知情,後2次我皆明確表示,希望保住胎兒,還準備退學養家」,但柴還是一意孤行,指回憶錄「多有誇張扭曲和掩飾」 相关内容一律私密",[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,['香港'],1,0,1,[],0,0,"['明確', '柴還', '柴自']",[],['價值'],3,0,1
24,2011年10月18日,今天有部分网友去探望陈光诚被阻，一般谈论的转发高的止下。,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,['陈光诚'],1,1,[],0,[],0,0,0,[],0,0,['陈光诚'],[],[],1,0,0
23,2011年10月18日,最新消息称小悦悦已经不治身亡。虚假消息，见到私密,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
22,2011年10月18日,段子 普删V私,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
21,2011年10月18日,转个严肃的黄段子：【六中全会】“不要…不要…不要…！” “要…要…要！大力…大力…深入…深入…还要…还要…！” 祝六中全会圆满成功！,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],['六中全会'],[],0,1,0
19,2011年10月18日,[CODE] 此贴网监转公安部要求查删。已报备陈彤同意执行。,['网监'],1,0,1,['陈彤'],1,0,1,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
16,2011年10月18日,[URL] 声音法治周刊 网管办要求关闭此微博。已经短信周XX去沟通。沟通结果是国新办要求关闭，上面要求今天必须关闭，明天找此媒体谈话，然后确定是否可以重新开。和陈彤确认后，将此用户冻结，明天等周XX通知看是否需要接触冻结。,['网管办'],1,1,0,['陈彤'],1,0,1,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['周X'],"['法治周刊', '国新办']",[],1,2,0
17,2011年10月18日,[CODE] 这个后台都看下，类似的内容都属于煽动性的信息，都是需要处理的范围！,[],0,0,0,[],0,0,0,0,['煽动'],1,0,1,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
15,2011年10月18日,北京日报17日文章《网络微博诚信缺失将无以立足》引发不少网友讨论，以质疑北京日报为主。审核时注意相关内容,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],['北京日报'],[],0,1,0
14,2011年10月18日,还有网友不断在发有关赵zi阳生日的，审核注意64相关内容。,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,['赵zi阳'],1,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['赵z'],[],[],1,0,0
13,2011年10月18日,克拉玛依二中发生打架事件，有网友说涉及民族矛盾。陈彤要求：谈论此事的全部私密处理。克拉玛依屏蔽搜索。今明两天安排人密切关注克拉玛依事件的内容。全部私密处理。随时通报他最新进展。,[],0,0,0,['陈彤'],1,0,1,0,[],0,0,0,['通报'],1,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['克拉玛依二'],[],[],1,0,0
12,2011年10月18日,陈彤短信通知：夏商的内容，以后尽可能关照，审核中发现不合适的内容及时发给负责人处理。,[],0,0,0,['陈彤'],1,0,1,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,[],[],[],0,0,0
18,2011年10月18日,克拉玛依二中发生打架事件，陈彤要求，谈论此事的全部私密处理。随时通报他进展。 克拉玛依屏蔽搜索。 陈彤要求：今明两天安排人密切关注克拉玛依事件的内容。全部私密处理。,[],0,0,0,['陈彤'],1,0,1,0,[],0,0,0,['通报'],1,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],0,[],0,0,0,[],0,0,['克拉玛依二'],[],[],1,0,0
34,2011年10月19日,bbc中文网称近千人可能近期要去探望陈光诚 此内容私密,[],0,0,0,[],0,0,0,0,[],0,0,0,[],0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,['陈光诚'],1,1,[],0,[],0,0,0,[],0,0,['陈光诚'],['bbc'],[],1,1,0
